與与 專专 業业 兩两 為为 麼么 樂乐 亂乱 虧亏 雲云 產产 親亲 僅仅 從从 會会 傳传 體体 偵侦
識识 護护 讚赞 財财 貴贵 贈赠 軍军 輛辆 輕轻 轎轿 農农 遞递 遷迁 鄉乡 醬酱 鑑鉴 鐘钟 開开
陸陆 隱隐 雞鸡 韓韩 頂顶 顧顾 顯显 飯饭 餐餐 馬马 驢驴 髒脏 鳥鸟 鴨鸭 鵝鹅 麗丽 龜龟 倉仓
儀仪 兒儿 兇凶 剛刚 劇剧 動动 務务 勞劳 匯汇 卻却 廠厂 廣广 廢废 彌弥 徹彻 憑凭 懶懒 戰战
擁拥 攔拦 攜携 敵敌 斬斩 極极 榮荣 樓楼 歐欧 歲岁 殺杀 氣气 溫温 滿满 澤泽 濟济 為为 燈灯
營营 獨独 獅狮 玨珏 產产 疊叠 皺皱 監监 盧卢 眾众 睜睁 矯矫 礙碍 禮礼 稅税 積积 穌稣 竊窃
筆笔 節节 範范 簡简 籃篮 糧粮 紙纸 純纯 絕绝 綜综 緊紧 縣县 織织 繳缴 罷罢 羅罗 聲声 職职
聽听 肅肃 膚肤 臉脸 舉举 艙舱 蓋盖 蒐搜 蘭兰 處处 號号 蟲虫 補补 襯衬 覺觉 觸触 訂订 診诊
註注 詞词 誠诚 諾诺 謠谣 譽誉 讀读 貞贞 貢贡 貧贫 販贩 責责 賀贺 賓宾 賦赋 贊赞 赬赪 趕赶
躍跃 軸轴 辦办 辭辞 遺遗 邏逻 醫医 釐厘 鋼钢 錶表 鍋锅 鎮镇 鐵铁 鑰钥 長长 門门 閉闭 開开
陽阳 隊队 雙双 難难 靜静 鞏巩 韌韧 響响 頑顽 頒颁 預预 頗颇 領领 頸颈 顏颜 類类 風风 颱台
飼饲 餓饿 饑饥 馳驰 駐驻 騎骑 驕骄 體体 髮发 鬧闹 魚鱼 鮑鲍 鹹咸 麵面 點点 黨党 鼓鼓 齡龄
寫写 嗎吗 來来 東东 繞绕 終终 彙汇 庫库 啟启 離离 決决 篩筛 佔占 併并 儘尽 兌兑 勵励 勸劝
嚴严 壞坏 夠够 奮奋 寧宁 寬宽 寶宝 屆届 幟帜 幾几 廚厨 彎弯 徵征 憂忧 懲惩 戀恋 掃扫 撐撑
擺摆 攝摄 曬晒 楊杨 歡欢 歸归 殘残 毀毁 溝沟 滅灭 潔洁 濁浊 災灾 燒烧 爐炉 爭争 爺爷 牆墙
獄狱 畢毕 療疗 癢痒 盜盗 碩硕 禍祸 窮穷 簽签 籤签 糾纠 紐纽 絆绊 綢绸 緞缎 縫缝 繪绘 纖纤
罰罚 聰聪 腫肿 艱艰 葉叶 藉借 蘊蕴 虜虏 蝦虾 螞蚂 蠟蜡 衛卫 衝冲 襪袜 覓觅 觀观 誇夸 諒谅
謎谜 譜谱 豐丰 豈岂 貫贯 賤贱 贖赎 蹟迹 軀躯 轟轰 辯辩 逕径 遜逊 鄭郑 醜丑 鑄铸 閘闸 隸隶
顫颤 飢饥 餵喂 饒饶 騰腾 鬆松 鬱郁 鳳凤 鴻鸿 齣出 傑杰 傭佣 剝剥 匱匮 叢丛 壘垒 壯壮 妝妆
孫孙 崗岗 帥帅 幫帮 廟庙 憲宪 揀拣 斃毙 樁桩 檻槛 瑯琅 疇畴 睞睐 粵粤 絮絮 缽钵 羨羡 翹翘
芻刍 蓆席 誌志 諮谘 謗谤 賬账 贍赡 躍跃 輩辈 轄辖 遙遥 邊边 醞酝 鍾钟 鎊镑 陝陕 靄霭 韁缰
餃饺 駕驾 驅驱 髖髋 鬍胡 鮭鲑 鹼碱 麩麸 龐庞 繫系 繋系 緊紧 係系 競竞 瑪玛 夢梦 際际 廳厅
廠厂 熊熊 咪咪 廟庙 慶庆 憶忆 懇恳 據据 攤摊 擾扰 曆历 檢检 濱滨 燦灿 猶犹 獵猎 瓊琼 產产
癥症 皰疱 盡尽 矚瞩 硯砚 礎础 稜棱 穎颖 竄窜 粵粤 絡络 綴缀 縱纵 繽缤 罌罂 翽翙 聳耸 脈脉
艦舰 藥药 蘋苹 蟬蝉 襬摆 譯译 貳贰 賴赖 贛赣 蹤踪 軒轩 較较 遼辽 鄲郸 鑼锣 陝陕 隴陇 韋韦
顱颅 飆飙 餌饵 駁驳 髒脏 鬚须 鯨鲸 鹵卤 麒麒 齋斋 萬万 膽胆 於于 亞亚 搖摇 構构 張张 綠绿
減减 蘆芦 濾滤 撲扑 帶带
